2026-01-25 05:16:28, Epoch 74, LR 0.000010, Acc 99.90, LOSS 0.062264, EER 28.1429, minDCF 0.985, Train Time 111.14s, Eval Time 94.10s
2026-01-25 05:19:49, Epoch 75, LR 0.000010, Acc 99.89, LOSS 0.062119, EER 28.4571, minDCF 0.988, Train Time 111.89s, Eval Time 89.45s
2026-01-25 05:23:19, Epoch 76, LR 0.000010, Acc 99.89, LOSS 0.060854, EER 28.3143, minDCF 0.988, Train Time 111.37s, Eval Time 98.95s
2026-01-25 05:26:43, Epoch 77, LR 0.000010, Acc 99.91, LOSS 0.060481, EER 27.8571, minDCF 0.985, Train Time 112.04s, Eval Time 92.06s
2026-01-25 05:30:05, Epoch 78, LR 0.000010, Acc 99.92, LOSS 0.059561, EER 28.0000, minDCF 0.985, Train Time 111.41s, Eval Time 90.26s
2026-01-25 05:33:27, Epoch 79, LR 0.000010, Acc 99.91, LOSS 0.058301, EER 28.1143, minDCF 0.990, Train Time 111.40s, Eval Time 90.10s
2026-01-25 05:36:46, Epoch 80, LR 0.000010, Acc 99.90, LOSS 0.058496, EER 27.9429, minDCF 0.984, Train Time 111.29s, Eval Time 87.97s
2026-01-25 05:40:04, Epoch 81, LR 0.000010, Acc 99.89, LOSS 0.058628, EER 27.9143, minDCF 0.987, Train Time 111.53s, Eval Time 86.48s
2026-01-25 05:43:25, Epoch 82, LR 0.000010, Acc 99.86, LOSS 0.058288, EER 27.8286, minDCF 0.986, Train Time 111.45s, Eval Time 90.02s
2026-01-25 05:46:47, Epoch 83, LR 0.000010, Acc 99.89, LOSS 0.057895, EER 27.5429, minDCF 0.985, Train Time 111.55s, Eval Time 89.71s
2026-01-25 05:50:08, Epoch 84, LR 0.000010, Acc 99.88, LOSS 0.057748, EER 27.7429, minDCF 0.985, Train Time 111.10s, Eval Time 90.01s
2026-01-25 05:53:23, Epoch 85, LR 0.000010, Acc 99.89, LOSS 0.056685, EER 27.8000, minDCF 0.982, Train Time 111.48s, Eval Time 83.32s
2026-01-25 05:56:36, Epoch 86, LR 0.000010, Acc 99.90, LOSS 0.056087, EER 27.9143, minDCF 0.989, Train Time 110.55s, Eval Time 83.02s
2026-01-25 05:59:49, Epoch 87, LR 0.000010, Acc 99.92, LOSS 0.055042, EER 28.1714, minDCF 0.987, Train Time 110.66s, Eval Time 82.25s
