2026-01-25 02:34:30, Epoch 49, LR 0.000010, Acc 99.71, LOSS 0.090022, EER 24.9143, minDCF 0.899, Train Time 40.37s, Eval Time 110.51s
2026-01-25 02:36:27, Epoch 50, LR 0.000010, Acc 99.69, LOSS 0.093331, EER 24.6000, minDCF 0.901, Train Time 40.22s, Eval Time 76.42s
2026-01-25 02:38:22, Epoch 51, LR 0.000010, Acc 99.47, LOSS 0.094962, EER 24.8000, minDCF 0.896, Train Time 40.37s, Eval Time 75.03s
2026-01-25 02:40:24, Epoch 52, LR 0.000010, Acc 99.69, LOSS 0.091421, EER 24.6571, minDCF 0.891, Train Time 40.27s, Eval Time 81.54s
2026-01-25 02:42:17, Epoch 53, LR 0.000010, Acc 99.68, LOSS 0.091150, EER 24.7429, minDCF 0.899, Train Time 40.54s, Eval Time 72.58s
2026-01-25 02:44:10, Epoch 54, LR 0.000010, Acc 99.68, LOSS 0.089583, EER 24.8571, minDCF 0.907, Train Time 40.51s, Eval Time 72.23s
2026-01-25 02:46:07, Epoch 55, LR 0.000010, Acc 99.73, LOSS 0.089844, EER 24.8857, minDCF 0.906, Train Time 40.19s, Eval Time 76.76s
2026-01-25 02:48:06, Epoch 56, LR 0.000010, Acc 99.65, LOSS 0.087305, EER 25.2571, minDCF 0.908, Train Time 40.74s, Eval Time 78.57s
2026-01-25 02:50:09, Epoch 57, LR 0.000010, Acc 99.69, LOSS 0.082315, EER 24.6000, minDCF 0.903, Train Time 40.33s, Eval Time 82.93s
2026-01-25 02:52:02, Epoch 58, LR 0.000010, Acc 99.75, LOSS 0.084573, EER 24.7429, minDCF 0.900, Train Time 41.09s, Eval Time 71.97s
2026-01-25 02:53:56, Epoch 59, LR 0.000010, Acc 99.73, LOSS 0.080021, EER 24.4571, minDCF 0.902, Train Time 40.43s, Eval Time 73.61s
2026-01-25 02:55:49, Epoch 60, LR 0.000010, Acc 99.71, LOSS 0.086216, EER 24.2286, minDCF 0.894, Train Time 40.32s, Eval Time 72.41s
2026-01-25 02:57:56, Epoch 61, LR 0.000010, Acc 99.78, LOSS 0.081743, EER 23.6571, minDCF 0.892, Train Time 40.53s, Eval Time 86.45s
2026-01-25 02:59:50, Epoch 62, LR 0.000010, Acc 99.75, LOSS 0.081067, EER 24.3714, minDCF 0.895, Train Time 40.26s, Eval Time 73.46s
2026-01-25 03:01:44, Epoch 63, LR 0.000010, Acc 99.72, LOSS 0.081776, EER 24.2286, minDCF 0.894, Train Time 40.68s, Eval Time 73.42s
2026-01-25 03:03:42, Epoch 64, LR 0.000010, Acc 99.73, LOSS 0.079488, EER 24.0000, minDCF 0.896, Train Time 40.83s, Eval Time 76.90s
2026-01-25 03:06:04, Epoch 65, LR 0.000010, Acc 99.81, LOSS 0.080717, EER 24.3714, minDCF 0.905, Train Time 40.67s, Eval Time 101.25s
2026-01-25 03:08:01, Epoch 66, LR 0.000010, Acc 99.76, LOSS 0.075526, EER 24.0000, minDCF 0.899, Train Time 40.49s, Eval Time 76.54s
