2026-02-09 03:03:30, Epoch 55, LR 0.000010, Acc 99.78, LOSS 0.075736, EER 28.5143, minDCF 0.991, Train Time 110.80s, Eval Time 83.30s
2026-02-09 03:06:45, Epoch 56, LR 0.000010, Acc 99.80, LOSS 0.073814, EER 28.2571, minDCF 0.991, Train Time 110.85s, Eval Time 84.39s
2026-02-09 03:10:09, Epoch 57, LR 0.000010, Acc 99.74, LOSS 0.073385, EER 28.1429, minDCF 0.989, Train Time 111.02s, Eval Time 92.92s
2026-02-09 03:13:27, Epoch 58, LR 0.000010, Acc 99.80, LOSS 0.071570, EER 28.1143, minDCF 0.988, Train Time 111.36s, Eval Time 86.69s
2026-02-09 03:16:46, Epoch 59, LR 0.000010, Acc 99.78, LOSS 0.072351, EER 28.6286, minDCF 0.988, Train Time 110.89s, Eval Time 87.48s
2026-02-09 03:20:06, Epoch 60, LR 0.000010, Acc 99.80, LOSS 0.069457, EER 28.5143, minDCF 0.984, Train Time 111.00s, Eval Time 88.66s
2026-02-09 03:23:24, Epoch 61, LR 0.000010, Acc 99.84, LOSS 0.070347, EER 28.4571, minDCF 0.988, Train Time 111.16s, Eval Time 86.71s
2026-02-09 03:26:44, Epoch 62, LR 0.000010, Acc 99.81, LOSS 0.068629, EER 28.1143, minDCF 0.988, Train Time 111.17s, Eval Time 89.29s
2026-02-09 03:30:01, Epoch 63, LR 0.000010, Acc 99.82, LOSS 0.068360, EER 27.9143, minDCF 0.981, Train Time 111.27s, Eval Time 86.06s
2026-02-09 03:33:17, Epoch 64, LR 0.000010, Acc 99.83, LOSS 0.068631, EER 27.8571, minDCF 0.988, Train Time 111.04s, Eval Time 84.18s
2026-02-09 03:36:34, Epoch 65, LR 0.000010, Acc 99.83, LOSS 0.068087, EER 28.7714, minDCF 0.986, Train Time 111.12s, Eval Time 85.49s
2026-02-09 03:39:49, Epoch 66, LR 0.000010, Acc 99.86, LOSS 0.065410, EER 28.3429, minDCF 0.983, Train Time 110.83s, Eval Time 84.19s
2026-02-09 03:43:06, Epoch 67, LR 0.000010, Acc 99.83, LOSS 0.066545, EER 28.0857, minDCF 0.986, Train Time 111.30s, Eval Time 86.48s
2026-02-09 03:46:27, Epoch 68, LR 0.000010, Acc 99.84, LOSS 0.064057, EER 28.0857, minDCF 0.984, Train Time 110.79s, Eval Time 90.13s
2026-02-09 03:49:44, Epoch 69, LR 0.000010, Acc 99.86, LOSS 0.062996, EER 28.2286, minDCF 0.990, Train Time 111.03s, Eval Time 85.70s
2026-02-09 03:53:00, Epoch 70, LR 0.000010, Acc 99.88, LOSS 0.064266, EER 28.0857, minDCF 0.988, Train Time 110.89s, Eval Time 84.59s
2026-02-09 03:56:22, Epoch 71, LR 0.000010, Acc 99.86, LOSS 0.062225, EER 28.6571, minDCF 0.990, Train Time 111.03s, Eval Time 91.12s
2026-02-09 03:59:37, Epoch 72, LR 0.000010, Acc 99.91, LOSS 0.062303, EER 28.0571, minDCF 0.987, Train Time 110.84s, Eval Time 84.04s
2026-02-09 04:03:31, Epoch 73, LR 0.000010, Acc 99.85, LOSS 0.062703, EER 28.2571, minDCF 0.989, Train Time 110.75s, Eval Time 123.61s
2026-02-09 04:06:46, Epoch 74, LR 0.000010, Acc 99.89, LOSS 0.062301, EER 28.0571, minDCF 0.987, Train Time 110.97s, Eval Time 84.05s
2026-02-09 04:09:59, Epoch 75, LR 0.000010, Acc 99.89, LOSS 0.062037, EER 28.1714, minDCF 0.988, Train Time 110.96s, Eval Time 82.38s
2026-02-09 04:13:13, Epoch 76, LR 0.000010, Acc 99.89, LOSS 0.060840, EER 28.2571, minDCF 0.987, Train Time 111.26s, Eval Time 82.84s
2026-02-09 04:16:39, Epoch 77, LR 0.000010, Acc 99.91, LOSS 0.060543, EER 27.6857, minDCF 0.987, Train Time 111.13s, Eval Time 94.31s
2026-02-09 04:19:55, Epoch 78, LR 0.000010, Acc 99.92, LOSS 0.059587, EER 27.9714, minDCF 0.985, Train Time 110.92s, Eval Time 85.45s
2026-02-09 04:23:11, Epoch 79, LR 0.000010, Acc 99.91, LOSS 0.058404, EER 28.1714, minDCF 0.989, Train Time 111.01s, Eval Time 84.96s
2026-02-09 04:26:30, Epoch 80, LR 0.000010, Acc 99.90, LOSS 0.058578, EER 28.1143, minDCF 0.985, Train Time 111.17s, Eval Time 87.78s
2026-02-09 04:29:46, Epoch 81, LR 0.000010, Acc 99.91, LOSS 0.058567, EER 27.8286, minDCF 0.987, Train Time 111.33s, Eval Time 84.41s
2026-02-09 04:33:04, Epoch 82, LR 0.000010, Acc 99.85, LOSS 0.058258, EER 27.7714, minDCF 0.987, Train Time 110.82s, Eval Time 86.78s
2026-02-09 04:36:57, Epoch 83, LR 0.000010, Acc 99.89, LOSS 0.058020, EER 27.5143, minDCF 0.987, Train Time 110.82s, Eval Time 122.80s
2026-02-09 04:40:44, Epoch 84, LR 0.000010, Acc 99.89, LOSS 0.057666, EER 27.8000, minDCF 0.985, Train Time 110.93s, Eval Time 114.94s
2026-02-09 04:44:00, Epoch 85, LR 0.000010, Acc 99.90, LOSS 0.056750, EER 27.6286, minDCF 0.982, Train Time 111.02s, Eval Time 85.48s
2026-02-09 04:47:16, Epoch 86, LR 0.000010, Acc 99.91, LOSS 0.056119, EER 27.7429, minDCF 0.989, Train Time 111.14s, Eval Time 84.99s
2026-02-09 04:50:31, Epoch 87, LR 0.000010, Acc 99.92, LOSS 0.055021, EER 28.0571, minDCF 0.988, Train Time 110.84s, Eval Time 84.23s
